Nome prodotto,Macro (lubrificanti / ausiliari per industria),Categoria / Categorie di appartenenza,Sottocategoria / Sottocategorie di appartenenza,Marchio,Descrizione prodotto (facoltativa),Applicazione,Osservazione,Note
ROUND 100    ,Fluidi industriali,Lubrificazione,Olio idraulico,Lukoil,"DIN 51506 – VB, 51506 – VBL, 51517-2 CL, 51524-1 HL; SEB 181222; VDMA 24318 – HL",,LAEIS,LUKOIL INDUSTRY
ROUND 150    ,Fluidi industriali,Lubrificazione,Olio idraulico,Lukoil,"DIN 51506 – VB, 51506 – VBL, 51517-2 CL, 51524-1 HL; SEB 181222; VDMA 24318 – HL",, ,LUKOIL INDUSTRY
ROUND 220    ,Fluidi industriali,Lubrificazione,Olio idraulico,Lukoil,"DIN 51506 – VB, 51506 – VBL, 51517-2 CL, 51524-1 HL; SEB 181222; VDMA 24318 – HL",,Krauss Maffei Berstorff,LUKOIL INDUSTRY
ROUND 320    ,Fluidi industriali,Lubrificazione,Olio idraulico,Lukoil,"DIN 51506 – VB, 51506 – VBL, 51517-2 CL, 51524-1 HL; SEB 181222; VDMA 24318 – HL",,Krauss Maffei Berstorff,LUKOIL INDUSTRY
ROUND 460    ,Fluidi industriali,Lubrificazione,Olio idraulico,Lukoil,"DIN 51506 – VB, 51506 – VBL, 51517-2 CL, 51524-1 HL; SEB 181222; VDMA 24318 – HL",,Krauss Maffei Berstorff,LUKOIL INDUSTRY
LUBE PX 15   ,Fluidi industriali,Lubrificazione,Olio idraulico,Lukoil,"DIN 51501, 51506 – VB, 51506 – VBL, 51517-1 C; ISO 11158 (HH), 6743-3 (DAA), 6743-4 (HH)",, ,LUKOIL INDUSTRY
LUBE PX 32   ,Fluidi industriali,Lubrificazione,Olio idraulico,Lukoil,"DIN 51501, 51506 – VB, 51506 – VBL, 51517-1 C; ISO 11158 (HH), 6743-3 (DAA), 6743-4 (HH)",, ,LUKOIL INDUSTRY
LUBE PX 68   ,Fluidi industriali,Lubrificazione,Olio idraulico,Lukoil,"DIN 51501, 51506 – VB, 51506 – VBL, 51517-1 (C); ISO 11158 (HH), 6743-3 (DAA), 6743-4 (HH)",, ,LUKOIL INDUSTRY
LUBE PX 100   ,Fluidi industriali,Lubrificazione,Olio idraulico,Lukoil,"DIN 51501, 51506 – VB, 51506 – VBL, 51517-1 (C); ISO 11158 (HH), 6743-3 (DAA), 6743-4 (HH)",, ,LUKOIL INDUSTRY
WHITE 15    ,Fluidi industriali,Lubrificazione,Olio idraulico,Lukoil,"European Pharmacopoeia (PH.EUR.) ; FDA 21 CFR 172.878, 21 CFR 176.170, 21 CFR 176.180, 21 CFR 178.3570, 21 CFR 178.3620(a); United States Pharmacopoeia (USP)",, ,LUKOIL INDUSTRY
