Nome prodotto,Macro (lubrificanti / ausiliari per industria),Categoria / Categorie di appartenenza,Sottocategoria / Sottocategorie di appartenenza,Marchio,Descrizione prodotto (facoltativa),Applicazione,Osservazione,Note
H Lift 46  ,Fluidi industriali,Lubrificazione,Altro,ENI,Oli minerali antiusura per circuiti idraulici degli ascensori,,,
Lamium 11 C  ,Fluidi industriali,Lubrificazione,Altro,ENI,"eni Lamium 11 C è un distillato petrolifero inodore, incolore, dearomatizzato e desolforato idoneo alla laminazione a freddo dell'alluminio. ",,,
Rolling AST 2,Fluidi industriali,Lubrificazione,Altro,ENI,"Eni Rolling AST 2 è un olio appositamente formulato per la laminazione a freddo dei nastri d’acciaio inossidabile su laminatoi Sendzimir. Particolarmente indicato per soddisfare in maniera ottimale le esigenze di finitura BA (Bright Annealed) di lamiere e nastri laminati che richiedono superfici ad elevata riflettività ed assenza di alonature. La viscosità del prodotto é stata definita in modo tale da limitare le perdite dovute alla volatilità ed assicurare al tempo stesso un buon effetto raffreddante, coadiuvato anche da un buon potere bagnante dato dalla presenza di costituenti polari. L'adesività bilanciata consente la formazione di un velo portante continuo e tenace di lubrificazione che garantisce un' adeguata riduzione del coefficiente di attrito senza provocare slittamento del nastro tra i cilindri di lavoro. Eni Rolling AST 2 è stato specificamente formulato con un olio base ed additivi che non danno origine a macchie o alonature su ogni tipo di laminato. Eccellente resistenza all’ossidazione, ottimo potere anticorrosivo, evidenziato dal superamento della prova di protezione ruggine anche in presenza di acqua salata. Eni Rolling AST 2 è compatibile con i materiali filtranti utilizzati per la filtrazione in fino.",,,
Antifreeze Bike S  ,Trazione,Antigelo,Antigelo,ENI,Fluido per circuiti refrigeranti,,,
Antifreeze Eco Extra  ,Trazione,Antigelo,Antigelo,ENI,Fluido per circuiti refrigeranti,,,
Antifreeze Eco Plus  ,Trazione,Antigelo,Antigelo,ENI,Fluido per circuiti refrigeranti,,,
Antifreeze Extra   ,Trazione,Antigelo,Antigelo,ENI,Fluido per circuiti refrigeranti,,,
Antifreeze Plus   ,Trazione,Antigelo,Antigelo,ENI,Fluido per circuiti refrigeranti,,,
Antifreeze Ready   ,Trazione,Antigelo,Antigelo,ENI,Fluido per circuiti refrigeranti,,,
Antifreeze Spezial   ,Trazione,Antigelo,Antigelo,ENI,Fluido per circuiti refrigeranti,,,
Antifreeze Spezial 12++  ,Trazione,Antigelo,Antigelo,ENI,Fluido per circuiti refrigeranti,,,
Aquamet 104 Plus  ,Fluidi industriali,Emulsionabili e solubili per asportazione truciolo,Emulsionabile,ENI,Olio emulsionabile per asportazione truciolo,,,
Aquamet 105   ,Fluidi industriali,Emulsionabili e solubili per asportazione truciolo,Emulsionabile,ENI,Olio emulsionabile per asportazione truciolo,,,
Aquamet 205 190  ,Fluidi industriali,Emulsionabili e solubili per asportazione truciolo,Emulsionabile,ENI,Olio emulsionabile per asportazione truciolo,,,
Aquamet 205 900  ,Fluidi industriali,Emulsionabili e solubili per asportazione truciolo,Emulsionabile,ENI,Olio emulsionabile per asportazione truciolo,,,
Aquamet 260 EP  ,Fluidi industriali,Emulsionabili e solubili per asportazione truciolo,Emulsionabile,ENI,Olio emulsionabile per asportazione truciolo,,,
Aquamet 260/EP KG  ,Fluidi industriali,Emulsionabili e solubili per asportazione truciolo,Emulsionabile,ENI,Olio emulsionabile per asportazione truciolo,,,
Aquamet 500 FG ECO ,Fluidi industriali,Emulsionabili e solubili per asportazione truciolo,Emulsionabile,ENI,Olio emulsionabile per asportazione truciolo,,,
Aquamet 700 EP  ,Fluidi industriali,Emulsionabili e solubili per asportazione truciolo,Emulsionabile,ENI,Olio emulsionabile per asportazione truciolo,,,
Aquamet 700 HP ECO ,Fluidi industriali,Emulsionabili e solubili per asportazione truciolo,Emulsionabile,ENI,Olio emulsionabile per asportazione truciolo,,,
Aquamet 700 HP Plus ,Fluidi industriali,Emulsionabili e solubili per asportazione truciolo,Emulsionabile,ENI,Olio emulsionabile per asportazione truciolo,,,
Aquamet 85 Plus  ,Fluidi industriali,Emulsionabili e solubili per asportazione truciolo,Emulsionabile,ENI,Olio emulsionabile per asportazione truciolo,,,
Brake Fluid DOT 4 ,Trazione,Lubrificazione,Altro,ENI,Fluido freni,,,
Eco LUBE MS  ,Trazione,Lubrificazione,Altro,ENI,Eni Eco Lube MS è uno speciale lubrificante biodegradabile formulato con esteri naturali di qualità ed additivi antiusura che lo rendono particolarmente idoneo alla lubrificazione manuale od automatica delle catene delle motoseghe.,,,
Fork Oil 10W  ,Trazione,Lubrificazione,Altro,ENI,Olio per forcelle ed ammortizzatori,,,
Fork Oil 15W  ,Trazione,Lubrificazione,Altro,ENI,Olio per forcelle ed ammortizzatori,,,
Fork Oil 5W  ,Trazione,Lubrificazione,Altro,ENI,Olio per forcelle ed ammortizzatori,,,
"Fork Oil 7,5W  ",Trazione,Lubrificazione,Altro,ENI,Olio per forcelle ed ammortizzatori,,,
Lda 4013 (SAE 40) ,Trazione,Lubrificazione,Altro,ENI,"Eni LDA 4013 SAE 40 è un prodotto sviluppato per lubrificare i motori delle locomotive operanti in condizioni gravose, in particolare General Electric ed Electro-Motive Diesel (EMD). Il prodotto è formulato utilizzando oli base di alta qualità con elevato indice di viscosità e basso punto di scorrimento; l'elevata percentuale di additivi presenti nella formulazione è in grado di conferire proprietà detergenti, disperdenti, anticorrosive, antiusura, antischiuma e resistenza all'ossidazione. Eni LDA 4013 SAE 40 non contiene zinco il che lo rende idoneo all'utilizzo dove si utilizzano cuscinetti in lega d'argento.",,,
Fresia ESB 10  ,Fluidi industriali,Oli interi per asportazione truciolo,Base estere,ENI,"Eni Fresia ESB 10 è un olio da taglio intero biodegradabile, multifunzionale e con caratteristiche EP, specificamente formulato con estere di sintesi per una più efficace riduzione dell'attrito tra utensile e pezzo lavorato. La formulazione è esente da cloro e zolfo ed è arricchita con additivi specifici che conferiscono al prodotto elevate caratteristiche detergenti, anticorrosive, antinebbia ed antiossidanti. Eni Fresia ESB 10 è raccomandato per operazioni di asportazione di truciolo di media ed alta gravosità, quali rettifica dei denti degli ingranaggi, affilatura utensili, foratura profonda e taglio ad alta velocità su acciai legati ed inox, alluminio e sue leghe, titanio e sue leghe e metalli gialli. Il prodotto è indicato per lubrificazione minimale. Eni Fresia ESB 10 è 'prontamente biodegradabile' (>60%) secondo il metodo OECD 301 B.",,,
Fresia ESB 25  ,Fluidi industriali,Oli interi per asportazione truciolo,Base estere,ENI,"Eni Fresia ESB 25 è un olio da taglio intero biodegradabile, multifunzionale e con caratteristiche EP, specificamente formulato con estere di sintesi per una più efficace riduzione dell'attrito tra utensile e pezzo lavorato. La formulazione è esente da cloro e zolfo ed è arricchita con additivi specifici che conferiscono al prodotto elevate caratteristiche detergenti, anticorrosive, antinebbia ed antiossidanti. Eni Fresia ESB 25 è raccomandato per operazioni di asportazione di truciolo di media ed alta gravosità, quali fresatura, tornitura, alesatura, strozzatura e dentatura ingranaggi su acciai legati ed inox, alluminio e sue leghe, titanio e sue leghe e metalli gialli. Il prodotto è indicato per lubrificazione minimale. Eni Fresia ESB 25 è 'prontamente biodegradabile' (>60%) secondo il metodo OECD 301 B.",,,
Eco Grease Plus  ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Eco GREASE/0   ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Eco GREASE/0 SE  ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Gr VN   ,Fluidi industriali,Lubrificazione,Grasso,ENI,"Eni GR VN è un prodotto speciale giallo/marrone chiaro, a base di derivati petroliferi di tipo ceroso paraffinoso, indicato per le operazioni di alaggio e varo di navi. Applicato a caldo sulle guide degli scali di alaggio navale, forma sulle superfici di scorrimento uno strato livellante resistente alle alte pressioni, sul quale durante il varo scorre l'invasatura solidale dello scafo. Eni GR VN è utilizzato in combinazione con il prodotto Eni Grease CC 4 al quale sono affidate le effettive funzioni di lubrificazione nelle operazioni di varo.",,,
Grease 16   ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Grease 30 2  ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Grease 33 FD  ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Grease CC 2  ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Grease CC 4  ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Grease CSX   ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Grease LC   ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Grease LC 2  ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Grease LCX 2/100  ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Grease LCX 2/220  ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Grease LP 1  ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Grease LP 2  ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Grease MP BLU  ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Grease MU 2  ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Grease MU 3  ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Grease MU EP  ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Grease MU EP 0 ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Grease MU EP 1 ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Grease MU EP 2 ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Grease MU EP 3 ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Grease NF 2  ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Grease NG 3  ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Grease NS 4  ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Grease PV 2  ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Grease SLL/00   ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Grease SM 2  ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Litio GREASE 475  ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Mp Grease 2  ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Silis GREASE HTL 1 ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Sp GR MU 0 ,Fluidi industriali,Lubrificazione,Grasso,ENI,Descrizione prodotto a breve,,,
Top 2000   ,Fluidi industriali,Lubrificazione,Grasso,ENI,"Eni TOP 2000 è un grasso multipurpose al calcio anidro a base di olio minerale e di olio sintetico per prolungare gli intervalli di lubrificazione; di aspetto pomatoso e colore verde fluorescente. Contiene al suo interno un particolare polimero che gli impartisce eccezionali proprietà adesive ed un'additivazione EP che lo rende particolarmente idoneo alla resistenza ai carichi ed alle vibrazioni. Eni TOP 2000 è stato studiato e realizzato per essere impiegato in situazioni di lubrificazione critica, ad esempio in presenza di acqua salata, elevata umidità, alti carichi con basse velocità, vibrazioni. Specifico per la lubrificazione di componenti presenti su veicoli, su macchine agricole, su macchinari e robot industriali, su imbarcazioni. Idoneo alla lubrificazione di catene, di nastri trasportatori e di ingranaggi sottoposti a sollecitazioni dinamiche e gravose. Nonostante l’elevata viscosità dell’olio base, Eni TOP 2000 è utilizzabile in sistemi di lubrificazione automatici e tramite applicazione a pistola.",,,
Arnica 104/FR   ,Fluidi industriali,Lubrificazione,Idraulico resistente al fuoco,ENI,Fluido idraulico HFC,"Eni Arnica 104/FR è un olio idraulico biodegradabile e 'resistente al fuoco' a base di Glicol etilenico ed acqua, particolarmente indicato per i sistemi idraulici esposti a pericoli di incendio dovuti alla vicinanza di agenti innescanti, come ad esempio nell'industria metallurgica.",,
Arnica S 46  ,Fluidi industriali,Lubrificazione,Idraulico resistente al fuoco,ENI,"Olio idraulico ad alte prestazioni appositamente sviluppato per i sistemi idraulici operanti in ambienti ove sussistono pericoli di incendio per la presenza di elevate temperature, come i laminatoi, o per la presenza di altri agenti innescanti quali scintille elettriche e saldatrici. E' formulato con esteri organici biodegradabili ad elevatissimo indice di viscosità e alto punto di infiammabilità. E' inoltre caratterizzato da ottime proprietà antiusura, anticorrosive ed antiruggine. Grazie alla sua biodegradabilità, Eni Arnica S 46 è idoneo per gli impianti idraulici dei veicoli industriali operanti in ambienti ecologicamente sensibili.",,,
Arnica S FR 46 ,Fluidi industriali,Lubrificazione,Idraulico resistente al fuoco,ENI,"Olio idraulico ad alte prestazioni appositamente sviluppato per i sistemi idraulici operanti in ambienti ove sussistono pericoli di incendio per la presenza di elevate temperature, come i laminatoi, o per la presenza di altri agenti innescanti quali scintille elettriche e saldatrici. E' formulato con esteri organici biodegradabili ad elevatissimo indice di viscosità e alto punto di infiammabilità. E' inoltre caratterizzato da ottime proprietà antiusura, anticorrosive ed antiruggine. Grazie alla sua biodegradabilità, Eni Arnica S 46 è idoneo per gli impianti idraulici dei veicoli industriali operanti in ambienti ecologicamente sensibili.",,,
Arnica S FR 68 ,Fluidi industriali,Lubrificazione,Idraulico resistente al fuoco,ENI,"Olio idraulico ad alte prestazioni appositamente sviluppato per i sistemi idraulici operanti in ambienti ove sussistono pericoli di incendio per la presenza di elevate temperature, come i laminatoi, o per la presenza di altri agenti innescanti quali scintille elettriche e saldatrici. E' formulato con esteri organici biodegradabili ad elevatissimo indice di viscosità e alto punto di infiammabilità. E' inoltre caratterizzato da ottime proprietà antiusura, anticorrosive ed antiruggine. Grazie alla sua biodegradabilità, Eni Arnica S 46 è idoneo per gli impianti idraulici dei veicoli industriali operanti in ambienti ecologicamente sensibili.",,,
Arnica S/46   ,Fluidi industriali,Lubrificazione,Idraulico resistente al fuoco,ENI,"Olio idraulico ad alte prestazioni appositamente sviluppato per i sistemi idraulici operanti in ambienti ove sussistono pericoli di incendio per la presenza di elevate temperature, come i laminatoi, o per la presenza di altri agenti innescanti quali scintille elettriche e saldatrici. E' formulato con esteri organici biodegradabili ad elevatissimo indice di viscosità e alto punto di infiammabilità. E' inoltre caratterizzato da ottime proprietà antiusura, anticorrosive ed antiruggine. Grazie alla sua biodegradabilità, Eni Arnica S 46 è idoneo per gli impianti idraulici dei veicoli industriali operanti in ambienti ecologicamente sensibili.",,,
Arnica S/68   ,Fluidi industriali,Lubrificazione,Idraulico resistente al fuoco,ENI,"Olio idraulico ad alte prestazioni appositamente sviluppato per i sistemi idraulici operanti in ambienti ove sussistono pericoli di incendio per la presenza di elevate temperature, come i laminatoi, o per la presenza di altri agenti innescanti quali scintille elettriche e saldatrici. E' formulato con esteri organici biodegradabili ad elevatissimo indice di viscosità e alto punto di infiammabilità. E' inoltre caratterizzato da ottime proprietà antiusura, anticorrosive ed antiruggine. Grazie alla sua biodegradabilità, Eni Arnica S 46 è idoneo per gli impianti idraulici dei veicoli industriali operanti in ambienti ecologicamente sensibili.",,,
Simblum 2/A   ,Fluidi industriali,Trattamenti termici,Base minerale,ENI,"Eni Simblum 2/A è un olio per tempra accelerata ad alta drasticità, formulato con base minerale paraffinica, impiegato nei trattamenti termici a freddo di pezzi di varie dimensioni, particolarmente indicato nella tempra di viti e bulloni. Indicato per temperature di impiego: +30°C / +80°C",,,
Simblum 3   ,Fluidi industriali,Trattamenti termici,Base minerale,ENI,"Eni Simblum 3 è un fluido da tempra a drasticità normale, formulato con base minerale paraffinica, impiegato nei trattamenti termici a freddo di pezzi di varie dimensioni. Temperature di impiego: +30°C / +90°C.",,,
Exidia HG 220  ,Fluidi industriali,Lubrificazione,Olio guide slitte,ENI,"Eni Exidia HG 220 è un lubrificante di alta qualità appositamente sviluppato per le guide di scorrimento, anche caricate, con sistemi di lubrificazione a circolazione ed a perdita. E' formulato con oli base di qualità e un pacchetto di additivi bilanciato in grado di conferire ottime proprietà antistick-slip, antiusura ed antiruggine. Eni Exidia HG 220 è adatto ad essere impiegato anche come fluido idraulico nelle macchine, spesso rettificatrici, nelle quali è previsto un unico olio per la lubrificazione delle guide e per i comandi oleodinamici.",,,
Exidia HG 32  ,Fluidi industriali,Lubrificazione,Olio guide slitte,ENI,"Eni Exidia HG 32 è un lubrificante di alta qualità appositamente sviluppato per le guide di scorrimento, anche caricate, con sistemi di lubrificazione a circolazione ed a perdita. E' formulato con oli base di qualità e un pacchetto di additivi bilanciato in grado di conferire ottime proprietà antistick-slip, antiusura ed antiruggine. Eni Exidia HG 32 è adatto ad essere impiegato anche come fluido idraulico nelle macchine, spesso rettificatrici, nelle quali è previsto un unico olio per la lubrificazione delle guide e per i comandi oleodinamici.",,,
Exidia HG 68  ,Fluidi industriali,Lubrificazione,Olio guide slitte,ENI,"Eni Exidia HG 68 è un lubrificante di alta qualità appositamente sviluppato per le guide di scorrimento, anche caricate, con sistemi di lubrificazione a circolazione ed a perdita. E' formulato con oli base di qualità e un pacchetto di additivi bilanciato in grado di conferire ottime proprietà antistick-slip, antiusura ed antiruggine. Eni Exidia HG 68 è adatto ad essere impiegato anche come fluido idraulico nelle macchine, spesso rettificatrici, nelle quali è previsto un unico olio per la lubrificazione delle guide e per i comandi oleodinamici.",,,
Acer 100   ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,Oli antiruggine e antiossidante multiuso,,,
Acer 15   ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,Oli antiruggine e antiossidante multiuso,,,
Acer 150   ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,Oli antiruggine e antiossidante multiuso,,,
Acer 22   ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,Oli antiruggine e antiossidante multiuso,,,
Acer 220   ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,Oli antiruggine e antiossidante multiuso,,,
Acer 32   ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,Oli antiruggine e antiossidante multiuso,,,
Acer 320   ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,Oli antiruggine e antiossidante multiuso,,,
Acer 46   ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,Oli antiruggine e antiossidante multiuso,,,
Acer 460   ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,Oli antiruggine e antiossidante multiuso,,,
Acer 68   ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,Oli antiruggine e antiossidante multiuso,,,
Acer 680   ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,Oli antiruggine e antiossidante multiuso,,,
Acer 800   ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,Oli antiruggine e antiossidante multiuso,,,
Acer LD 100  ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,Olio per cuscinetti dei laminatoi No-Twist,,,
Acer MPK 220  ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,Oli per cuscinetti ed ingranaggi delle macchine per cartiere,,,
Acer MV 10  ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,Olio per mandrini veloci,,,
Acer XLD 68  ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,Olio idraulico,,,
Arnica 100   ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,Olio idraulico HVLP,,,
Arnica 22   ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,Olio idraulico HVLP,,,
Arnica 32   ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,Olio idraulico HVLP,,,
Arnica 46   ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,Olio idraulico HVLP,,,
Arnica 68   ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,Olio idraulico HVLP,,,
Arnica DV 46  ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,"Eni Arnica DV 46 è un olio idraulico ad alto indice di viscosità appositamente sviluppato per le presse idrauliche dell'industria ceramica e per la lubrificazione generale delle macchine utensili. E' formulato con oli base selezionati e un pacchetto di additivi bilanciato in grado di garantire ottime proprietà antiusura, antiruggine ed antiossidanti. L'oculata scelta di additivi detergenti e disperdenti rende l'Eni Arnica DV 46 idoneo per tutti i sistemi idraulici particolarmente sensibili al rischio di inquinamento d'acqua ed impurezze di varia origine.",,,
Arnica EAL 46  ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,"Eni Arnica EAL 46 è un fluido idraulico “eco-friendly” ad alte prestazioni appositamente sviluppato per applicazioni operanti in ambienti ecologicamente sensibili quali: industrie agricole, attività forestali, fluviali e offshore. E' raccomandato per i sistemi idraulici operanti in un ampio intervallo di temperature di esercizio. Eni Arnica EAL 46 è formulato con esteri sintetici saturi e con additivi in grado di conferire elevate proprietà antiusura ed anticorrosive.",,,
Arnica PSX 46  ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,Eni Arnica PSX 46 è un fluido idraulico totalmente sintetico dalle elevatissime prestazioni specificatamente formulato per le presse dell’industria ceramica ed in particolare per le macchine Sacmi di ultima generazione.,,,
Arnica SA 12 WLS ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,"Eni ARNICA SA 12 WLS è un prodotto costituito da una particolare miscela di oli base minerali contenente additivi miglioratori dell'indice di viscosità, del punto di scorrimento, antiusura, antiruggine, detergenti nonché additivi modificatori del coefficiente d'attrito tra le parti in movimento che lo rendono particolarmente idoneo al riempimento degli ammortizzatori degli autocarri. ",,,
Arnica TP 46  ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,"Eni Arnica TP 46 è un fluido idraulico formulato con basi di elevata qualità ed una innovativa tecnologia di additivazione senza ceneri, appositamente sviluppato per l'impiego nelle presse dell’industria ceramica. Il prodotto soddisfa i requisiti della specifica SACMI 200.02.A01 (2013) per la classe 18 (impianti oleodinamici delle presse ceramiche).",,,
Arum HT 220  ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI, Arum HT 220 è un lubrificante di altissima qualità formulato con speciali basi sintetiche di tipo wstereo in grado di non lasciare depositi alle alte temperature e inoltre opportunamente additivato per garantire un' eccezionale resistenza all' ossidazione. ,,,
Asp 150 ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,"Eni ASP è un lubrificante speciale appartenente alla categoria degli oli definiti 'antigoccia', in quanto è dotato di proprietà adesive e coesive molto accentuate, che si oppongono al gocciolamento ed all'allontamento dagli organi lubrificati per effetto della gravità, di forze centrifughe e di vibrazioni. ","Eni ASP  è impiegato in applicazioni nelle quali gli organi lubrificati sono soggetti a movimenti violenti, moti alternativi a frequenza elevata e forze centrifughe, ed è indicato per la lubrificazione di macchinari per operazioni nelle quali è necessario prevenire la macchiatura o la contaminazione dei prodotti lavorati, come si verifica frequentemente nell'industria alimentare, tessile, cartaria e tipografica.",,
Asp 220 ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,"Eni ASP è un lubrificante speciale appartenente alla categoria degli oli definiti 'antigoccia', in quanto è dotato di proprietà adesive e coesive molto accentuate, che si oppongono al gocciolamento ed all'allontamento dagli organi lubrificati per effetto della gravità, di forze centrifughe e di vibrazioni. ","Eni ASP  è impiegato in applicazioni nelle quali gli organi lubrificati sono soggetti a movimenti violenti, moti alternativi a frequenza elevata e forze centrifughe, ed è indicato per la lubrificazione di macchinari per operazioni nelle quali è necessario prevenire la macchiatura o la contaminazione dei prodotti lavorati, come si verifica frequentemente nell'industria alimentare, tessile, cartaria e tipografica.",,
Asp C 100  ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,"Eni ASP C 100 è adatto per la lubrificazione della maggior parte degli utensili per aria compressa ed in particolare per martelli pneumatici da miniera e per edilizia, operanti in condizioni di temperatura, e per utensili con flusso di acqua all' interno del fioretto.","Eni ASP  è impiegato in applicazioni nelle quali gli organi lubrificati sono soggetti a movimenti violenti, moti alternativi a frequenza elevata e forze centrifughe, ed è indicato per la lubrificazione di macchinari per operazioni nelle quali è necessario prevenire la macchiatura o la contaminazione dei prodotti lavorati, come si verifica frequentemente nell'industria alimentare, tessile, cartaria e tipografica.",,
Asp C 32  ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,Eni ASP C 32 è un olio a base minerale destinato alla lubrificazione di utensili pneumatici ed è particolarmente indicato per un utilizzo a bassa temperatura ambiente. Grazie a particolari componenti Eni ASP C 32 è capace di incorporare una certa quantità d'acqua senza perdere la capacità lubrificazione garantendo elevata untuosità e conseguente resistenza del velo lubrificante.,,,
Hydraulic OIL AST 32 ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,"Eni Hydraulic Oil AST 32 è un olio idraulico appositamente formulato per essere impiegato su laminatoi di tipo Sendzimir per la laminazione di acciaio inossidabile e titanio perfettamente compatibile con i fluidi di laminazione Eni Rolling AST 2 ed Eni Rolling TNX. Il prodotto è formulato con basi minerali selezionate ed additivi che impartiscono elevate proprietà antiusura, antiruggine, antiossidante, antischiuma e demulsive. Eni Hydraulic Oil AST 32 è idoneo anche negli impianti idraulici di laminatoi per alluminio e metalli gialli.",,,
Hydraulic OIL TNX 46 ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,"Eni Hydraulic Oil TNX 46 è un olio idraulico appositamente formulato per essere impiegato in laminatoi di tipo Sendzimir per la laminazione di acciaio inossidabile e titanio perfettamente compatibile con i fluidi di laminazione Eni Rolling AST 2 ed Eni Rolling TNX. Il prodotto è formulato con basi minerali selezionate ed additivi che impartiscono elevate proprietà antiusura, antiruggine, antiossidante, antischiuma e demulsive. Eni Hydraulic Oil TNX 46 è idoneo anche negli impianti idraulici di laminatoi per alluminio e metalli gialle.",,,
Hydroil GF 32  ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,"Eni Hydroil GF 32 è un olio di alta qualità con additivazione antiruggine, antiossidante ed antiusura. Adatto per essere impiegato come fluido nei sistemi idraulici dove é richiesto l'uso di oli lubrificanti con buone prestazioni ed una elevata protezione antiusura, è caratterizzato da un basso punto di scorrimento che consente un facile avviamento degli impianti idraulici anche a bassa temperatura.",,,
Hydroil GF 46  ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,"Eni Hydroil GF 46 è un olio di alta qualità con additivazione antiruggine, antiossidante ed antiusura. Adatto per essere impiegato come fluido nei sistemi idraulici dove é richiesto l'uso di oli lubrificanti con buone prestazioni ed una elevata protezione antiusura, è caratterizzato da un basso punto di scorrimento che consente un facile avviamento degli impianti idraulici anche a bassa temperatura.",,,
Hydroil GF 68  ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,"Eni Hydroil GF 68 è un olio di alta qualità con additivazione antiruggine, antiossidante ed antiusura. Adatto per essere impiegato come fluido nei sistemi idraulici dove é richiesto l'uso di oli lubrificanti con buone prestazioni ed una elevata protezione antiusura, è caratterizzato da un basso punto di scorrimento che consente un facile avviamento degli impianti idraulici anche a bassa temperatura.",,,
Obi 10   ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,"Eni OBI 10 è un oli minerale bianco altamente raffinato idoneo ad essere utilizzato in applicazioni farmaceutiche, cosmetiche e fitofarmaceutiche.",,,
Obi 12   ,Fluidi industriali,Lubrificazione,Olio idraulico,ENI,Eni OBI 12 è un oli minerale bianco altamente raffinato destinato ad usi medicinali e nella preparazione di prodotti di profumeria e cosmetici.,,,
